@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
barD_0036.fits,816.7862,817.0,2.2239,2457703.72819
barD_0037.fits,816.7707,817.0,2.2239,2457703.72932
barD_0038.fits,816.738,817.0,2.2239,2457703.73045
barD_0039.fits,816.7069,817.0,2.2239,2457703.73157
barD_0040.fits,816.7024,817.0,2.2239,2457703.7327
barD_0041.fits,816.7129,817.0,2.2239,2457703.73383
barD_0042.fits,816.6702,817.0,2.2239,2457703.73495
barD_0043.fits,816.6975,817.0,2.2239,2457703.73608
barD_0044.fits,816.7157,817.0,2.2239,2457703.73721
barD_0045.fits,816.6449,817.0,2.2239,2457703.73833
barD_0046.fits,816.7206,817.0,2.2239,2457703.73946
barD_0047.fits,816.628,817.0,2.2239,2457703.74059
barD_0048.fits,816.7181,817.0,2.2239,2457703.74171
barD_0049.fits,816.7062,817.0,2.2239,2457703.74284
barD_0050.fits,816.7207,817.0,2.2239,2457703.74397
barD_0051.fits,816.7567,817.0,2.2239,2457703.74509
barD_0052.fits,816.653,817.0,2.2239,2457703.74621
barD_0053.fits,816.6775,817.0,2.2239,2457703.74735
barD_0054.fits,816.635,817.0,2.2239,2457703.74848
barD_0055.fits,816.6718,817.0,2.2239,2457703.74961
barD_0056.fits,816.627,817.0,2.2239,2457703.75073
barD_0057.fits,816.6372,817.0,2.2239,2457703.75186
barD_0058.fits,816.6611,817.0,2.2239,2457703.75299
barD_0059.fits,816.696,817.0,2.2239,2457703.75411
barD_0060.fits,816.6568,817.0,2.2239,2457703.75524
barD_0061.fits,816.6938,817.0,2.2239,2457703.75637
barD_0062.fits,816.7093,817.0,2.2239,2457703.75749
barD_0063.fits,816.7466,817.0,2.2239,2457703.75861
barD_0064.fits,816.7975,817.0,2.2239,2457703.75974
barD_0065.fits,816.7359,817.0,2.2239,2457703.76087
cali_0001.fits,821.0011,821.0,2.9652,2457703.03473
cali_0002.fits,817.343,817.0,2.2239,2457703.03586
cali_0003.fits,818.5928,819.0,2.2239,2457703.03698
cali_0004.fits,818.9462,819.0,2.9652,2457703.03811
cali_0005.fits,818.989,819.0,2.9652,2457703.03924
cali_0006.fits,818.8133,819.0,2.2239,2457703.04036
cali_0007.fits,818.716,819.0,2.2239,2457703.04148
cali_0008.fits,818.5681,819.0,2.2239,2457703.04262
cali_0009.fits,818.4465,818.0,2.2239,2457703.04374
cali_0010.fits,818.3681,818.0,2.2239,2457703.04486
cali_0011.fits,818.3268,818.0,2.2239,2457703.04598
cali_0012.fits,818.2919,818.0,2.2239,2457703.04711
cali_0013.fits,818.2298,818.0,2.2239,2457703.04824
cali_0014.fits,818.1991,818.0,2.9652,2457703.04936
cali_0015.fits,818.191,818.0,2.9652,2457703.05049
cali_0016.fits,818.087,818.0,2.9652,2457703.05161
cali_0017.fits,818.0174,818.0,2.9652,2457703.05274
cali_0018.fits,818.058,818.0,2.9652,2457703.05387
cali_0019.fits,817.9954,818.0,2.9652,2457703.05499
cali_0020.fits,817.9393,818.0,2.9652,2457703.05611
cali_0021.fits,817.924,818.0,2.9652,2457703.05724
cali_0022.fits,817.9201,818.0,2.9652,2457703.05837
cali_0023.fits,817.8976,818.0,2.9652,2457703.05949
cali_0024.fits,817.8489,818.0,2.9652,2457703.06061
cali_0025.fits,817.8119,818.0,2.2239,2457703.06175
cali_0026.fits,817.7579,818.0,2.2239,2457703.06287
cali_0027.fits,817.804,818.0,2.2239,2457703.06399
cali_0028.fits,817.7804,818.0,2.2239,2457703.06513
cali_0029.fits,817.7787,818.0,2.2239,2457703.06625
cali_0030.fits,817.7637,818.0,2.2239,2457703.06737
