@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
barD_0036.fits,816.2385,816.0,2.2239,2457704.71649
barD_0037.fits,816.2817,816.0,2.2239,2457704.71763
barD_0038.fits,816.2414,816.0,2.2239,2457704.71875
barD_0039.fits,816.2487,816.0,2.2239,2457704.71988
barD_0040.fits,816.1925,816.0,2.9652,2457704.72101
barD_0041.fits,816.2943,816.0,2.2239,2457704.72214
barD_0042.fits,816.3138,816.0,2.2239,2457704.72326
barD_0043.fits,816.3311,816.0,2.2239,2457704.72439
barD_0044.fits,816.3101,816.0,2.2239,2457704.72551
barD_0045.fits,816.3189,816.0,2.2239,2457704.72664
barD_0046.fits,816.2305,816.0,2.2239,2457704.72777
barD_0047.fits,816.2805,816.0,2.2239,2457704.7289
barD_0048.fits,816.2722,816.0,2.2239,2457704.73002
barD_0049.fits,816.3807,816.0,2.2239,2457704.73115
barD_0050.fits,816.2665,816.0,2.2239,2457704.73227
barD_0051.fits,816.2496,816.0,2.2239,2457704.7334
barD_0052.fits,816.3132,816.0,2.2239,2457704.73453
barD_0053.fits,816.2763,816.0,2.2239,2457704.73565
barD_0054.fits,816.2247,816.0,2.2239,2457704.73678
barD_0055.fits,816.3103,816.0,2.2239,2457704.7379
barD_0056.fits,816.2988,816.0,2.2239,2457704.73904
barD_0057.fits,816.26,816.0,2.2239,2457704.74016
barD_0058.fits,816.2115,816.0,2.2239,2457704.74128
barD_0059.fits,816.1625,816.0,2.9652,2457704.74242
barD_0060.fits,816.1961,816.0,2.2239,2457704.74354
barD_0061.fits,816.1679,816.0,2.9652,2457704.74466
barD_0062.fits,816.1984,816.0,2.2239,2457704.7458
barD_0063.fits,816.1893,816.0,2.9652,2457704.74692
barD_0064.fits,816.2544,816.0,2.2239,2457704.74806
barD_0065.fits,816.2004,816.0,2.2239,2457704.74918
cali_0001.fits,816.4058,816.0,2.2239,2457704.13322
cali_0002.fits,816.3883,816.0,2.2239,2457704.13434
cali_0003.fits,816.3729,816.0,2.2239,2457704.13547
cali_0004.fits,816.3935,816.0,2.2239,2457704.1366
cali_0005.fits,816.3898,816.0,2.2239,2457704.13773
cali_0006.fits,816.3951,816.0,2.2239,2457704.13885
cali_0007.fits,816.3909,816.0,2.2239,2457704.13999
cali_0008.fits,816.367,816.0,2.2239,2457704.14111
cali_0009.fits,816.381,816.0,2.2239,2457704.14225
cali_0010.fits,816.4123,816.0,2.2239,2457704.14337
cali_0011.fits,816.3598,816.0,2.2239,2457704.1445
cali_0012.fits,816.3024,816.0,2.2239,2457704.14562
cali_0013.fits,816.3675,816.0,2.2239,2457704.14676
cali_0014.fits,816.3362,816.0,2.2239,2457704.14788
cali_0015.fits,816.3441,816.0,2.2239,2457704.14902
cali_0016.fits,816.2733,816.0,2.2239,2457704.15014
cali_0017.fits,816.3362,816.0,2.2239,2457704.15127
cali_0018.fits,816.3658,816.0,2.2239,2457704.1524
cali_0019.fits,816.3404,816.0,2.2239,2457704.15353
cali_0020.fits,816.3445,816.0,2.2239,2457704.15465
cali_0021.fits,816.3959,816.0,2.2239,2457704.15579
cali_0022.fits,816.4104,816.0,2.2239,2457704.15691
cali_0023.fits,816.4056,816.0,2.2239,2457704.15803
cali_0024.fits,816.3737,816.0,2.2239,2457704.15917
cali_0025.fits,816.3521,816.0,2.2239,2457704.16029
cali_0026.fits,816.4001,816.0,2.2239,2457704.16142
cali_0027.fits,816.4146,816.0,2.2239,2457704.16255
cali_0028.fits,816.4782,816.0,2.2239,2457704.16367
cali_0029.fits,816.4691,816.0,2.2239,2457704.1648
cali_0030.fits,816.3986,816.0,2.2239,2457704.16593
