@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0001.fits,818.0539,818.0,2.9652,2457682.15777
cali_0002.fits,818.0944,818.0,2.9652,2457682.15889
cali_0003.fits,818.0518,818.0,2.9652,2457682.16002
cali_0004.fits,818.0608,818.0,2.9652,2457682.16115
cali_0005.fits,818.0033,818.0,2.9652,2457682.16227
cali_0006.fits,817.9529,818.0,2.9652,2457682.1634
cali_0007.fits,817.9984,818.0,2.9652,2457682.16452
cali_0008.fits,818.0272,818.0,2.9652,2457682.16565
cali_0009.fits,818.07,818.0,2.9652,2457682.16678
cali_0010.fits,818.1195,818.0,2.9652,2457682.16791
cali_0011.fits,818.1587,818.0,2.9652,2457682.16903
cali_0012.fits,818.1071,818.0,2.9652,2457682.17016
cali_0013.fits,818.0463,818.0,2.9652,2457682.17129
cali_0014.fits,818.128,818.0,2.9652,2457682.17241
cali_0015.fits,818.0907,818.0,2.9652,2457682.17354
cali_0016.fits,818.0743,818.0,2.9652,2457682.17466
cali_0017.fits,818.1008,818.0,2.9652,2457682.17579
cali_0018.fits,818.1029,818.0,2.9652,2457682.17692
cali_0019.fits,818.0989,818.0,2.9652,2457682.17804
cali_0020.fits,818.1625,818.0,2.9652,2457682.17917
cali_0021.fits,818.0957,818.0,2.9652,2457682.18029
cali_0022.fits,818.0892,818.0,2.9652,2457682.18142
cali_0023.fits,818.113,818.0,2.9652,2457682.18255
cali_0024.fits,818.0502,818.0,2.9652,2457682.18367
cali_0025.fits,818.0546,818.0,2.9652,2457682.1848
cali_0026.fits,818.067,818.0,2.9652,2457682.18593
cali_0027.fits,818.0048,818.0,2.9652,2457682.18705
cali_0028.fits,818.0516,818.0,2.9652,2457682.18818
cali_0029.fits,818.0469,818.0,2.9652,2457682.18931
cali_0030.fits,817.983,818.0,2.9652,2457682.19043
