@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0001.fits,815.3348,815.0,2.2239,2457593.15499
cali_0002.fits,815.4026,815.0,2.2239,2457593.15611
cali_0003.fits,815.4088,815.0,2.2239,2457593.15724
cali_0004.fits,815.3324,815.0,2.2239,2457593.15837
cali_0005.fits,815.398,815.0,2.2239,2457593.15949
cali_0006.fits,815.3872,815.0,2.2239,2457593.16061
cali_0007.fits,815.3971,815.0,2.2239,2457593.16175
cali_0008.fits,815.3891,815.0,2.2239,2457593.16287
cali_0009.fits,815.3577,815.0,2.2239,2457593.16399
cali_0010.fits,815.3553,815.0,2.2239,2457593.16513
cali_0011.fits,815.3499,815.0,2.2239,2457593.16625
cali_0012.fits,815.3032,815.0,2.2239,2457593.16737
cali_0013.fits,815.3085,815.0,2.2239,2457593.16849
cali_0014.fits,815.3143,815.0,2.2239,2457593.16963
cali_0015.fits,815.4126,815.0,2.2239,2457593.17075
cali_0016.fits,815.3789,815.0,2.2239,2457593.17188
cali_0017.fits,815.5544,815.0,2.2239,2457593.17301
cali_0018.fits,815.3512,815.0,2.2239,2457593.17413
cali_0019.fits,815.3279,815.0,2.2239,2457593.17526
cali_0020.fits,815.2805,815.0,2.2239,2457593.17639
cali_0021.fits,815.3149,815.0,2.2239,2457593.17751
cali_0022.fits,815.2837,815.0,2.2239,2457593.17863
cali_0023.fits,815.2851,815.0,2.2239,2457593.17976
cali_0024.fits,815.3132,815.0,2.2239,2457593.18089
cali_0025.fits,815.3459,815.0,2.2239,2457593.18201
cali_0026.fits,815.3597,815.0,2.2239,2457593.18314
cali_0027.fits,815.3793,815.0,2.2239,2457593.18427
cali_0028.fits,815.3766,815.0,2.2239,2457593.18539
cali_0029.fits,815.4116,815.0,2.2239,2457593.18652
cali_0030.fits,815.4252,815.0,2.2239,2457593.18765
lilJ_0061.fits,820.2909,820.0,2.9652,2457593.68873
lilJ_0062.fits,817.7871,818.0,2.2239,2457593.68986
lilJ_0063.fits,817.0245,817.0,2.9652,2457593.69098
lilJ_0064.fits,816.6144,817.0,2.2239,2457593.69212
lilJ_0065.fits,816.3964,816.0,2.2239,2457593.69324
lilJ_0066.fits,816.225,816.0,2.2239,2457593.69436
lilJ_0067.fits,815.9967,816.0,2.9652,2457593.69549
lilJ_0068.fits,815.849,816.0,2.9652,2457593.69662
lilJ_0069.fits,815.8169,816.0,2.9652,2457593.69774
lilJ_0070.fits,815.7005,816.0,2.2239,2457593.69888
lilJ_0071.fits,815.6512,816.0,2.2239,2457593.7
lilJ_0072.fits,815.5474,816.0,2.2239,2457593.70112
lilJ_0073.fits,819.6436,820.0,5.1891,2457593.70226
lilJ_0074.fits,823.573,824.0,2.2239,2457593.70338
lilJ_0075.fits,818.6293,819.0,2.2239,2457593.7045
lilJ_0076.fits,817.4663,817.0,2.2239,2457593.70562
lilJ_0077.fits,816.9534,817.0,2.9652,2457593.70676
lilJ_0078.fits,816.6288,817.0,2.2239,2457593.70788
lilJ_0079.fits,816.4085,816.0,2.2239,2457593.70901
lilJ_0080.fits,816.1637,816.0,2.9652,2457593.71014
lilJ_0081.fits,815.9462,816.0,2.9652,2457593.71126
lilJ_0082.fits,815.8313,816.0,2.9652,2457593.7124
lilJ_0083.fits,815.7701,816.0,2.2239,2457593.71352
lilJ_0084.fits,815.6998,816.0,2.2239,2457593.71464
lilJ_0085.fits,815.7244,816.0,2.2239,2457593.71577
lilJ_0086.fits,816.2629,816.0,2.9652,2457593.7169
lilJ_0087.fits,823.9958,824.0,2.9652,2457593.71802
lilJ_0088.fits,820.4986,820.0,3.7065,2457593.71916
lilJ_0089.fits,817.755,818.0,2.2239,2457593.72028
lilJ_0090.fits,817.101,817.0,2.9652,2457593.7214
