@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0001.fits,823.4021,823.0,2.2239,2457596.12
cali_0002.fits,821.113,821.0,2.9652,2457596.12112
cali_0003.fits,821.7543,822.0,2.2239,2457596.12226
cali_0004.fits,821.8072,822.0,2.9652,2457596.12338
cali_0005.fits,821.7198,822.0,2.2239,2457596.1245
cali_0006.fits,821.5726,822.0,2.2239,2457596.12562
cali_0007.fits,821.3325,821.0,2.2239,2457596.12676
cali_0008.fits,821.2355,821.0,2.2239,2457596.12788
cali_0009.fits,821.1039,821.0,2.9652,2457596.129
cali_0010.fits,821.1234,821.0,2.9652,2457596.13013
cali_0011.fits,820.9191,821.0,2.9652,2457596.13126
cali_0012.fits,820.865,821.0,2.9652,2457596.13238
cali_0013.fits,820.8103,821.0,2.9652,2457596.13351
cali_0014.fits,820.8314,821.0,2.9652,2457596.13464
cali_0015.fits,820.8146,821.0,2.9652,2457596.13576
cali_0016.fits,820.7652,821.0,2.2239,2457596.13689
cali_0017.fits,820.7555,821.0,2.2239,2457596.13802
cali_0018.fits,820.7401,821.0,2.2239,2457596.13914
cali_0019.fits,820.7129,821.0,2.2239,2457596.14027
cali_0020.fits,820.6488,821.0,2.2239,2457596.1414
cali_0021.fits,820.6326,821.0,2.2239,2457596.14252
cali_0022.fits,820.6336,821.0,2.2239,2457596.14365
cali_0023.fits,820.7008,821.0,2.2239,2457596.14478
cali_0024.fits,820.6422,821.0,2.2239,2457596.1459
cali_0025.fits,820.5934,821.0,2.2239,2457596.14702
cali_0026.fits,820.6371,821.0,2.2239,2457596.14815
cali_0027.fits,820.6302,821.0,2.2239,2457596.14928
cali_0028.fits,820.6817,821.0,2.2239,2457596.1504
cali_0029.fits,820.6035,821.0,2.2239,2457596.15153
cali_0030.fits,820.6505,821.0,2.2239,2457596.15266
